咸酸蔃,单味药
菅茅根,单味药
千金麦门冬汤,方剂
小棕包,单味药
加减虎骨散,方剂
龙硼丹,方剂
天黄散,方剂
桐子花,单味药
龙脑粉,方剂
加减肾气丸,方剂
二黄三白丸,方剂
连壳丸,方剂
荆芥,单味药
加减五苓汤,方剂
三仙丹药膏,方剂
生姜,单味药
乌须酒,方剂
鸭涎,单味药
木香槟榔煎,方剂
广茂煮散,方剂
苍附导痰丸,方剂
地龙酒,方剂
辣根,单味药
梧桐叶,单味药
海藻石,单味药
子楝树叶,单味药
羊肾,单味药
中华蹄盖蕨,单味药
灭邪汤,方剂
人乳汁,单味药
羌活桂枝汤,方剂
八味肾气丸,方剂
平和饮子,方剂
一两金,方剂
川山橙根,单味药
固胎饮,方剂
升麻散火汤,方剂
附子木瓜煎丸,方剂
李氏天仙藤散,方剂
七七丹,方剂
山药粥,方剂
灵乌散,方剂
乌麻散,方剂
玄芩二陈汤,方剂
加味益气养血救脱汤,方剂
回阳返本汤,方剂
露兜竻花,单味药
三匮丹,方剂
人参百合汤,方剂
阴香叶,单味药
托里清补汤,方剂
卵叶水芹,单味药
人参蛤蚧丸,方剂
野海椒,单味药
卷毛婆婆纳,单味药
观音灸,方剂
万露丹,方剂
十六味清膈散,方剂
如神丸,方剂
白饭树根,单味药
桧叶,单味药
疔药方,方剂
凤雏丸,方剂
内托清肝饮,方剂
五朝元紫霞丹,方剂
皂角刺,单味药
杏仁粉,方剂
补虚散,方剂
白英散,方剂
取渊汤,方剂
加味滋肾汤,方剂
万年青叶,单味药
一味药,单味药
柞树叶,单味药
寄马桩,单味药
人参归脾丸,方剂
白槟榔散,方剂
如圣加人参藿香杏仁汤,方剂
七珍汤,方剂
川芎黄耆汤,方剂
毛冬青,单味药
豆蔻理中丸,方剂
外科清心汤,方剂
滇南美登木,单味药
乌梅饮子,方剂
鸭脚木皮,单味药
圆叶碱毛茛,单味药
沉香紫蔻丸,方剂
龙麝紫芝煎,方剂
川黄散,方剂
守神丸,方剂
月光花种子,单味药
地黄蒸丸,方剂
人参橘皮竹茹汤,方剂
亮菌,单味药
英神普救丸,方剂
十仙夺命丹,方剂
导黄汤,方剂
白楠木,单味药
同春丸,方剂
戒止丸,方剂
大青饮子,方剂
安息活血丹,方剂
五加皮浸酒,方剂
慈竹箨,单味药
狼肉,单味药
鸡大腿,单味药
化疔救唇汤,方剂
鸡卵膏,方剂
一物白鲜汤,方剂
海通,单味药
玉女粉,方剂
白猪鼻孔,单味药
诃栀散,方剂
圣惠丸,方剂
乌麻地黄酒,方剂
大效紫菀丸,方剂
冬茄冲剂,方剂
乌须固齿擦牙散,方剂
羊骨,单味药
红毛鸡,单味药
玉真汤,方剂
青风羚羊汤,方剂
回乳汤,方剂
乌鸡白凤丸,方剂
苓术茵陈汤,方剂
取齿丹,方剂
五香拈痛丸,方剂
瓦松,单味药
栗荴,单味药
三人九子丸,方剂
完肺散,方剂
伏火四神玉粉丹,方剂
荞麦叶,单味药
冰螺散,方剂
大力子汤,方剂
丰花草,单味药
三石汤,方剂
红瑞木果,单味药
三乙承气汤,方剂
抵住丸,方剂
大海藻汤,方剂
人参七味丸,方剂
快气汤,方剂
翁波,单味药
地黄羊脂煎,方剂
秤杆草,单味药
小金丹,方剂
加味六皮煎,方剂
仙花散,方剂
运气五瘟丹,方剂
内托均气散,方剂
马鬐膏,单味药
肉桂散,方剂
水积丸,方剂
水澄膏,方剂
鸢胆,单味药
护心托里散,方剂
云雪散,方剂
抑上丸,方剂
椰子瓤,单味药
加减通气散,方剂
朱砂顶,方剂
扫翳散,方剂
女儿红根,单味药
阳消散,方剂
含化马牙消丸,方剂
加味左金丸,方剂
四圣饮,方剂
玉米油,单味药
乌须捻药,方剂
木瓜粳米汤,方剂
斩龙草,单味药
豆青膏,方剂
人参鳖甲汤,方剂
川素馨,单味药
岩败酱,单味药
卫生散,方剂
易产神效八味散,方剂
红消散,方剂
羊脑玉,方剂
芦连消疳丸,方剂
全蝎饼,方剂
干地黄散,方剂
露兜竻蔃,单味药
连翘漏芦汤,方剂
杉木煎,方剂
红芋,单味药
阿尔泰扭藿香,单味药
利血通经丸,方剂
回生保命丹,方剂
白线蛇,单味药
太极丸,方剂
五宝散,方剂
纳鼻散,方剂
仙茅丸,方剂
阳和生化汤,方剂
白乳菇,单味药
加减寿脾煎,方剂
手膏,方剂
补心麦门冬丸,方剂
野木鱼,单味药
谷神散,方剂
延胡止痛散,方剂
鸡子沐汤,方剂
野把子,单味药
甲灰丸,方剂
狗骨柴,单味药
四圣膏,方剂
夺命更生散,方剂
绒毛粉背蕨,单味药
荷莲豆菜,单味药
鸡鸣出关方,方剂
细叶桉叶,单味药
附虎四斤丸,方剂
还元水,方剂
十二味翼首散,方剂
细叶铁线莲,单味药
小花清风藤根,单味药
三蕊草,单味药
丹粉散,方剂
丁香蓼根,单味药
百选肥儿丸,方剂
司马温公解毒膏,方剂
伸筋草,单味药
地黄汁汤,方剂
金樱花,单味药
加减藿朴夏苓汤,方剂
内补竹叶黄耆汤,方剂
人齿散,方剂
西藏鸡爪草花,单味药
竹茹酒,方剂
白丁香丸,方剂
芩连导痰汤,方剂
马雹儿,单味药
矩圆线蕨,单味药
鹄绒毛,单味药
龙骨,单味药
走马赴筵丹,方剂
走马寸金丸,方剂
干枣汤,方剂
杏连散,方剂
小儿止泻片,方剂
野颠茄,单味药
青活麻,单味药
芎术除湿汤,方剂
朱砂益元散,方剂
日用仙酥丹,方剂
四草饮,方剂
立正散,方剂
干咯散,方剂
无上仙丹,方剂
宁嗽金丹,方剂
柏树油,单味药
松沥煎,方剂
苡仁散,方剂
加味安神生化汤,方剂
松药丹,方剂
太一丸,方剂
石草散,方剂
玉珍散,方剂
长肉商红膏,方剂
太阳紫粉丹,方剂
内府玉红膏,方剂
鹌鹑,单味药
加减鸟药顺气丸,方剂
水马齿苋,单味药
仙传草还丹,方剂
羌蒡蒲薄汤,方剂
羌活除风汤,方剂
鸡屎白汤,方剂
柳叶蒿,单味药
山精丸,方剂
枳椇木皮,单味药
乌翎散,方剂
化腐紫霜膏,方剂
水翁根,单味药
玉米须,单味药
五牡丸,方剂
拨云退翳还睛丸,方剂
正元荜澄茄汤,方剂
半夏曲,方剂
柚皮,单味药
生蜜粉方,方剂
乌扇膏,方剂
青盐点方,方剂
附子饮子,方剂
妇宝宁坤丸,方剂
白防活命饮,方剂
短茎独活,单味药
乳香,单味药
开胃健脾丸,方剂
走马胎,单味药
地不容,单味药
过气丸,方剂
夺命通关散,方剂
片脑膏,方剂
大宁嗽汤,方剂
驱热丸,方剂
加减清肺饮,方剂
分浊散,方剂
串珠耳叶苔,单味药
龙齿补心汤,方剂
八正合四物汤,方剂
升提汤,方剂
仙传通津救命至灵汤,方剂
金精石,单味药
引血汤,方剂
东北堇菜,单味药
半夏苏子汤,方剂
针砂平胃散,方剂
人参桔梗汤,方剂
天香散,方剂
东瓜汤,方剂
回生神丹,方剂
茅草箭,单味药
八宝玉枢丹,方剂
麦门冬竹叶汤,方剂
固心丹,方剂
小构树叶,单味药
朱砂鹿茸丸,方剂
还睛补肾丸,方剂
补中去毒散,方剂
羌活除翳汤,方剂
萝芙木,单味药
牛毛七,单味药
天地煎,方剂
阳七贤散,方剂
二陈摄本散,方剂
四制白术丸,方剂
八角枫花,单味药
川韭丸,方剂
车前子,单味药
牛李子散,方剂
大花糙苏,单味药
壮阳丹,方剂
归桂化逆汤,方剂
防风解毒汤,方剂
加减理脾清热除湿膏,方剂
小曲散,方剂
补虚沉香丸,方剂
糙苏,单味药
加味泻心汤,方剂
丝风化毒汤,方剂
芎归加桂汤,方剂
化湿清火汤,方剂
苓麻饮,方剂
至圣麝香饼子,方剂
酸枣仁,单味药
小半夏饮,方剂
五倍苦矾散,方剂
松香,单味药
边缘鳞盖蕨,单味药
镜面草,单味药
吕祖师铁拐杖,方剂
龙麝青金丸,方剂
补益大豆方,方剂
四味地黄丸,方剂
沉香末子,方剂
六神丸,方剂
艾附四神丸,方剂
贝叶膏,方剂
折冲饮,方剂
辛夷,单味药
乌贼一茹丸,方剂
水冬瓜根,单味药
马银花,单味药
千金豕膏丸,方剂
山药藤,单味药
百果酒,方剂
狭叶当归,单味药
吹鼻桂辛散,方剂
高山龙胆,单味药
青粱米,单味药
川芎,单味药
止逆汤,方剂
半枫荷叶,单味药
白术升麻汤,方剂
转呆丹,方剂
化淫消毒汤,方剂
仰天钟根,单味药
芒萁骨,单味药
大肉豆蔻丸,方剂
归命散,方剂
开关利膈丸,方剂
番杏,单味药
黑芝,单味药
加减天王补心丹,方剂
百蕊草根,单味药
小黄耆散,方剂
丹矾丸,方剂
地耳散,方剂
豪猪肉,单味药
当归玄胡索汤,方剂
导毒丹,方剂
九子油膏,方剂
华东阴地蕨,单味药
吴蓝汤,方剂
灵妙丹,方剂
四物加泽兰汤,方剂
丹参丸,方剂
挪挪果,单味药
化肝煎,方剂
槠子,单味药
文蛤津脐膏,方剂
松香膏,方剂
扇叶阴地蕨,单味药
飞生丸,方剂
芡实茯苓牛角散,方剂
八宝奇秘散,方剂
树火麻,单味药
芎芷膏,方剂
回浆合宜散,方剂
七蚰丹,方剂
丹砂茯神丸,方剂
双翎草,单味药
竹叶归耆汤,方剂
正元丹,方剂
青灵丹,方剂
止痒药膏,方剂
白郎花,单味药
迎春花根,单味药
葱须,单味药
抑火清肝退翳汤,方剂
紫藤,单味药
毛冬青叶,单味药
龙眼核,单味药
鄂报春,单味药
岩参,单味药
细柄薯蓣,单味药
山黄豆藤,单味药
梧桐子,单味药
虎液膏,方剂
巴矾丸,方剂
芦荟散,方剂
秦艽,单味药
妙灵丹,方剂
连环串,方剂
芎当泻心汤,方剂
胡萝卜叶,单味药
加减六合汤,方剂
丹毒饮,方剂
木槟汤,方剂
哈士蟆,单味药
沉香化滞定痛丸,方剂
加味清中散,方剂
山芋拔刀,方剂
金果榄,单味药
七星丸,方剂
水晶汤,方剂
鳕鱼鳔,单味药
九物牛黄丸,方剂
树腰子,单味药
分湿内化丹,方剂
坯莲散,方剂
反胃降逆丹,方剂
升气去湿汤,方剂
加减鸟全散,方剂
世宝丸,方剂
仙人粮,方剂
白果蛋方,方剂
芎归人参散,方剂
万补丸,方剂
赤楠根,单味药
双叶金枪,单味药
茅根葛根汤,方剂
一贯煎,方剂
八生散,方剂
盾果草,单味药
内鹿髓丸,方剂
全生散,方剂
水陆二仙丸,方剂
四物加荆防汤,方剂
山牛汤,方剂
利窍通耳方,方剂
加味固本胶,方剂
升阳益精汤,方剂
立催芎归汤,方剂
伏牛花散,方剂
野京豆,单味药
木鳖子膏,方剂
加味活血消痈汤,方剂
鸡苏吹喉散,方剂
二术柴葛汤,方剂
昆布散,方剂
大菟丝子丸,方剂
落葵,单味药
半夏藿香丸,方剂
苁蓉散,方剂
补中地黄汤,方剂
丹参汤,方剂
三才却病丹,方剂
软皮树,单味药
骆驼脂,单味药
上山龙,单味药
老虎耳,单味药
穇穗莎草,单味药
石杏膏,方剂
攻补两益汤,方剂
四十七号讼象方,方剂
千金不换内消丸,方剂
七白膏,方剂
初精散,方剂
红根,单味药
加味济生汤,方剂
豆蔻子汤,方剂
橘红,单味药
牛膝乌梅四物汤,方剂
曲枝假蓝,单味药
马齿煎,方剂
四制黄柏丸,方剂
千金补脬饮,方剂
刺山茶果,单味药
阿胶黄连汤,方剂
葛藟汁,单味药
红芍药散,方剂
吸药仙丹,方剂
双圣丹,方剂
丁香五辛丸,方剂
白垩散,方剂
橙子核,单味药
开窍消痰饮,方剂
蕺叶秋海棠,单味药
补脾止带汤,方剂
儿疟饮,方剂
抱青丸,方剂
牛黄消炎丸,方剂
石南芽茶,方剂
瓜矾散,方剂
麦石汤,方剂
护金汤,方剂
马齿实粥,方剂
水师精明,方剂
乌头当归汤,方剂
明硫黄膏,方剂
杉寄生叶,单味药
丝瓜汤,方剂
郁金汤,方剂
巴黄丸,方剂
藏青果,单味药
乌尼参,单味药
阴痫方,方剂
芦荟丸,方剂
紫金莲,单味药
长寿散,方剂
防风蔓荆丸,方剂
杉塔,单味药
伤痛宁片,方剂
黄缅桂,单味药
喜树皮,单味药
小鹿茸丸,方剂
地黄雄黄饮,方剂
九味宽中散,方剂
三尖杉根,单味药
玄菟丹,方剂
灰矿散,方剂
加减四顺饮,方剂
万应山楂丸,方剂
六味消风痰散,方剂
石柏散,方剂
五味藤,单味药
木香半夏丹,方剂
白芷散,方剂
小白术汤,方剂
二方汤,方剂
开郁导气汤,方剂
羊藿散,方剂
半夏加茯苓汤,方剂
归胶饮,方剂
稗根苗,单味药
香槐,单味药
不老汤,方剂
高原点地梅,单味药
叉枝藻,单味药
